#thr(wl), créé par Plot Digitizer, 2.6.8
#Date: 01/10/20, 11:06:17
wl,thr
383.599,5.74543,
391.389,7.73470,
402.290,10.9174,
414.758,13.9298,
438.942,17.9658,
475.644,21.7188,
504.536,24.7325,
530.321,26.3255,
552.216,26.6682,
579.590,26.6705,
608.545,25.5933,
639.072,24.0048,
660.997,22.3589,
682.920,20.8266,
695.454,19.5208,
711.898,18.2721,
729.121,17.1939,
749.472,16.1729,
776.094,14.2432,
913.100,5.50432,
946.757,3.80250,
971.804,2.55453,
981.198,2.04393,
986.679,1.64665,