#Y(X), créé par Plot Digitizer, 2.6.8
#Date: 12/10/20, 17:29:33
wl,thr
369.990,2.76392,
382.242,4.76008,
396.429,7.83109,
412.550,11.5163,
424.157,13.7428,
439.633,16.8906,
457.044,19.4242,
471.875,21.0365,
494.444,23.4933,
508.631,24.7985,
527.331,25.9501,
543.452,26.4875,
558.284,26.4107,
569.891,26.4107,
583.433,26.4107,
599.554,25.8733,
615.030,25.1823,
630.506,24.6449,
644.692,23.5701,
655.655,22.8023,
670.486,21.6507,
684.673,20.4990,
697.569,19.3474,
711.756,18.3493,
724.653,17.3512,
739.484,16.5835,
754.315,15.8157,
769.147,14.8944,
785.913,13.2054,
801.389,12.0537,
816.865,10.7486,
832.341,9.75048,
847.817,8.98273,
862.649,8.29175,
881.994,7.06334,
901.984,5.83493,
922.619,4.83685,
950.992,4.14587,
969.048,3.45489,
987.103,3.07102,